"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1054741,"800940","1",17519,,"4"
1054741,"800940","1",17519,,"5"
1054741,"900000","1",229000,,"1"
1054741,"900000","1",229000,,"2"
1054741,"900000","1",229000,,"3"
1054741,"900000","1",229000,,"4"
1054741,"900000","1",229000,,"5"
1054741,"900080","1",8310,,"1"
1054741,"900080","1",6875,,"2"
1054741,"900080","1",8841,,"3"
1054741,"900080","1",9017,,"4"
1054741,"900080","1",5099,,"5"
1054741,"980000","1",237310,,"1"
1054741,"980000","1",235875,,"2"
1054741,"980000","1",237841,,"3"
1054741,"980000","1",238017,,"4"
1054741,"980000","1",234099,,"5"
1054741,"980070","1",238760,,"1"
1054741,"980070","1",237325,,"2"
1054741,"980070","1",239291,,"3"
1054741,"980070","1",239467,,"4"
1054741,"980070","1",235549,,"5"
1054742,"800940","1",17519,,"1"
1054742,"800940","1",17519,,"2"
1054742,"800940","1",17519,,"3"
1054742,"800940","1",17519,,"4"
1054742,"800940","1",17519,,"5"
1054742,"900000","1",229000,,"1"
1054742,"900000","1",229000,,"2"
1054742,"900000","1",229000,,"3"
1054742,"900000","1",229000,,"4"
1054742,"900000","1",229000,,"5"
1054742,"900080","1",7135,,"1"
1054742,"900080","1",6546,,"2"
1054742,"900080","1",8574,,"3"
1054742,"900080","1",8487,,"4"
1054742,"900080","1",8456,,"5"
1054742,"980000","1",236135,,"1"
1054742,"980000","1",235546,,"2"
1054742,"980000","1",237574,,"3"
1054742,"980000","1",237487,,"4"
1054742,"980000","1",237456,,"5"
1054742,"980070","1",237585,,"1"
1054742,"980070","1",236996,,"2"
1054742,"980070","1",239024,,"3"
1054742,"980070","1",238937,,"4"
1054742,"980070","1",238906,,"5"
1054801,"800940","1",5365,,"1"
1054801,"800940","1",2218,,"2"
1054801,"800940","1",4765,,"3"
1054801,"800940","1",979,,"4"
1054801,"800940","1",3950,,"5"
1054801,"900000","1",70128,,"1"
1054801,"900000","1",28988,,"2"
1054801,"900000","1",62289,,"3"
1054801,"900000","1",12797,,"4"
1054801,"900000","1",51628,,"5"
1054801,"980000","1",70128,,"1"
1054801,"980000","1",28988,,"2"
1054801,"980000","1",62289,,"3"
1054801,"980000","1",12797,,"4"
1054801,"980000","1",51628,,"5"
1054801,"980070","1",70128,,"1"
1054801,"980070","1",28988,,"2"
1054801,"980070","1",62289,,"3"
1054801,"980070","1",12797,,"4"
1054801,"980070","1",51628,,"5"
1054802,"800940","1",3746,,"1"
1054802,"800940","1",320,,"2"
1054802,"800940","1",1234,,"3"
1054802,"800940","1",1568,,"4"
1054802,"800940","1",919,,"5"
1054802,"900000","1",48973,,"1"
1054802,"900000","1",4178,,"2"
1054802,"900000","1",16131,,"3"
1054802,"900000","1",20503,,"4"
1054802,"900000","1",12008,,"5"
1054802,"980000","1",48973,,"1"
1054802,"980000","1",4178,,"2"
1054802,"980000","1",16131,,"3"
1054802,"980000","1",20503,,"4"
1054802,"980000","1",12008,,"5"
1054802,"980070","1",48973,,"1"
1054802,"980070","1",4178,,"2"
1054802,"980070","1",16131,,"3"
1054802,"980070","1",20503,,"4"
1054802,"980070","1",12008,,"5"
1061131,"900030","1",11621,,"1"
1061131,"900030","1",11165,,"2"
1061131,"900030","1",10853,,"3"
1061131,"900030","1",10913,,"4"
1061131,"900030","1",11129,,"5"
1061131,"900040","1",149,,"1"
1061131,"900040","1",293,,"2"
1061131,"900040","1",500,,"3"
1061131,"900040","1",438,,"4"
1061131,"900040","1",7,,"5"
1061131,"980000","1",11770,,"1"
1061131,"980000","1",11458,,"2"
1061131,"980000","1",11353,,"3"
1061131,"980000","1",11351,,"4"
1061131,"980000","1",11136,,"5"
1061131,"980070","1",11770,,"1"
1061131,"980070","1",11458,,"2"
1061131,"980070","1",11353,,"3"
