"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980070",181368,"2",1482662,"1",
"980070",100908,"3",1482662,"1",
"980070",56445,"4",1482662,"1",
"980070",99383,"5",1482662,"1",
"900000",57664,"1",1482681,"1",
"900000",48841,"2",1482681,"1",
"900000",54336,"3",1482681,"1",
"900000",25562,"4",1482681,"1",
"900000",8588,"5",1482681,"1",
"980000",57664,"1",1482681,"1",
"980000",48841,"2",1482681,"1",
"980000",54336,"3",1482681,"1",
"980000",25562,"4",1482681,"1",
"980000",8588,"5",1482681,"1",
"980070",57664,"1",1482681,"1",
"980070",48841,"2",1482681,"1",
"980070",54336,"3",1482681,"1",
"980070",25562,"4",1482681,"1",
"980070",8588,"5",1482681,"1",
"900000",21095,"1",1482682,"1",
"900000",30650,"2",1482682,"1",
"900000",11977,"3",1482682,"1",
"900000",26083,"4",1482682,"1",
"900000",34113,"5",1482682,"1",
"980000",21095,"1",1482682,"1",
"980000",30650,"2",1482682,"1",
"980000",11977,"3",1482682,"1",
"980000",26083,"4",1482682,"1",
"980000",34113,"5",1482682,"1",
"980070",21095,"1",1482682,"1",
"980070",30650,"2",1482682,"1",
"980070",11977,"3",1482682,"1",
"980070",26083,"4",1482682,"1",
"980070",34113,"5",1482682,"1",
"900030",14459,"1",1482701,"1",
"900030",14459,"2",1482701,"1",
"900030",14459,"3",1482701,"1",
"900030",14459,"4",1482701,"1",
"900030",14459,"5",1482701,"1",
"900150",192,"1",1482701,"1",
"900150",192,"2",1482701,"1",
"900150",192,"3",1482701,"1",
"900150",192,"4",1482701,"1",
"900150",192,"5",1482701,"1",
"980000",14651,"1",1482701,"1",
"980000",14651,"2",1482701,"1",
"980000",14651,"3",1482701,"1",
"980000",14651,"4",1482701,"1",
"980000",14651,"5",1482701,"1",
"980070",14651,"1",1482701,"1",
"980070",14651,"2",1482701,"1",
"980070",14651,"3",1482701,"1",
"980070",14651,"4",1482701,"1",
"980070",14651,"5",1482701,"1",
"900030",14459,"1",1482702,"1",
"900030",14459,"2",1482702,"1",
"900030",14459,"3",1482702,"1",
"900030",14459,"4",1482702,"1",
"900030",14459,"5",1482702,"1",
"900150",192,"1",1482702,"1",
"900150",192,"2",1482702,"1",
"900150",192,"3",1482702,"1",
"900150",192,"4",1482702,"1",
"900150",192,"5",1482702,"1",
"980000",14651,"1",1482702,"1",
"980000",14651,"2",1482702,"1",
"980000",14651,"3",1482702,"1",
"980000",14651,"4",1482702,"1",
"980000",14651,"5",1482702,"1",
"980070",14651,"1",1482702,"1",
"980070",14651,"2",1482702,"1",
"980070",14651,"3",1482702,"1",
"980070",14651,"4",1482702,"1",
"980070",14651,"5",1482702,"1",
"900000",24302,"1",1482721,"1",
"900000",21102,"2",1482721,"1",
"900000",21118,"3",1482721,"1",
"900000",27848,"4",1482721,"1",
"900000",20819,"5",1482721,"1",
"900030",20819,"1",1482721,"1",
"900030",11531,"2",1482721,"1",
"900030",15959,"3",1482721,"1",
"900030",16247,"4",1482721,"1",
"900030",15731,"5",1482721,"1",
"900180",157,"1",1482721,"1",
"900180",3,"2",1482721,"1",
"900180",84,"3",1482721,"1",
"900180",10,"4",1482721,"1",
"900180",26,"5",1482721,"1",
"980000",45278,"1",1482721,"1",
"980000",32636,"2",1482721,"1",
"980000",37161,"3",1482721,"1",
"980000",44105,"4",1482721,"1",
"980000",36576,"5",1482721,"1",
"980070",48778,"1",1482721,"1",
