"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980000",281822,"2",1419631,"1","T"
"980000",281822,"3",1419631,"1","T"
"980000",281822,"4",1419631,"1","T"
"980000",281822,"5",1419631,"1","T"
"980070",283970,"1",1419631,"1","T"
"980070",283970,"2",1419631,"1","T"
"980070",283970,"3",1419631,"1","T"
"980070",283970,"4",1419631,"1","T"
"980070",283970,"5",1419631,"1","T"
"900000",281722,"1",1419632,"1","T"
"900000",281722,"2",1419632,"1","T"
"900000",281722,"3",1419632,"1","T"
"900000",281722,"4",1419632,"1","T"
"900000",281722,"5",1419632,"1","T"
"900180",100,"1",1419632,"1",
"900180",100,"2",1419632,"1",
"900180",100,"3",1419632,"1",
"900180",100,"4",1419632,"1",
"900180",100,"5",1419632,"1",
"980000",281822,"1",1419632,"1","T"
"980000",281822,"2",1419632,"1","T"
"980000",281822,"3",1419632,"1","T"
"980000",281822,"4",1419632,"1","T"
"980000",281822,"5",1419632,"1","T"
"980070",283970,"1",1419632,"1","T"
"980070",283970,"2",1419632,"1","T"
"980070",283970,"3",1419632,"1","T"
"980070",283970,"4",1419632,"1","T"
"980070",283970,"5",1419632,"1","T"
"900000",126880,"1",1419651,"1",
"900000",136321,"2",1419651,"1",
"900000",50017,"3",1419651,"1",
"900000",25686,"4",1419651,"1",
"900000",63702,"5",1419651,"1",
"980000",126880,"1",1419651,"1",
"980000",136321,"2",1419651,"1",
"980000",50017,"3",1419651,"1",
"980000",25686,"4",1419651,"1",
"980000",63702,"5",1419651,"1",
"980070",126880,"1",1419651,"1",
"980070",136321,"2",1419651,"1",
"980070",50017,"3",1419651,"1",
"980070",25686,"4",1419651,"1",
"980070",63702,"5",1419651,"1",
"900000",116162,"1",1419652,"1",
"900000",67059,"2",1419652,"1",
"900000",136226,"3",1419652,"1",
"900000",41326,"4",1419652,"1",
"900000",61228,"5",1419652,"1",
"980000",116162,"1",1419652,"1",
"980000",67059,"2",1419652,"1",
"980000",136226,"3",1419652,"1",
"980000",41326,"4",1419652,"1",
"980000",61228,"5",1419652,"1",
"980070",116162,"1",1419652,"1",
"980070",67059,"2",1419652,"1",
"980070",136226,"3",1419652,"1",
"980070",41326,"4",1419652,"1",
"980070",61228,"5",1419652,"1",
"900000",84000,"1",1419711,"1",
"900000",84000,"2",1419711,"1",
"900000",84000,"3",1419711,"1",
"900000",84000,"4",1419711,"1",
"900000",84000,"5",1419711,"1",
"900030",15659,"1",1419711,"1",
"900030",15659,"2",1419711,"1",
"900030",15659,"3",1419711,"1",
"900030",15659,"4",1419711,"1",
"900030",15659,"5",1419711,"1",
"900170",14400,"1",1419711,"1",
"900170",14400,"2",1419711,"1",
"900170",14400,"3",1419711,"1",
"900170",14400,"4",1419711,"1",
"900170",14400,"5",1419711,"1",
"900180",70,"1",1419711,"1",
"900180",58,"2",1419711,"1",
"900180",888,"3",1419711,"1",
"900180",62,"4",1419711,"1",
"900180",662,"5",1419711,"1",
